state,district,market,commodity,variety,arrival_date,min_price,max_price,modal_price
Andaman and Nicobar,South Andaman,Port Blair,Amaranthus,Amaranthus,04/19/2012,6000,8000,7000
Andaman and Nicobar,South Andaman,Port Blair,Banana - Green,Banana - Green,08/02/2009,4500,5500,5000
Andaman and Nicobar,South Andaman,Port Blair,Bhindi(Ladies Finger),Bhindi,07/28/2007,6000,8000,7000
Andaman and Nicobar,South Andaman,Port Blair,Bitter gourd,Other,06/07/2000,6000,8000,7000
Andaman and Nicobar,South Andaman,Port Blair,Black pepper,Other,01/21/2012,110000,130000,120000
Andaman and Nicobar,South Andaman,Port Blair,Bottle gourd,Other,09/05/2009,3000,4000,3500
Andaman and Nicobar,South Andaman,Port Blair,Brinjal,Other,04/27/2007,7000,8000,7500
Andaman and Nicobar,South Andaman,Port Blair,Cabbage,Other,10/28/2016,6000,7000,6500
Andaman and Nicobar,South Andaman,Port Blair,Carrot,Other,05/11/2014,9000,11000,10000
Andaman and Nicobar,South Andaman,Port Blair,Cauliflower,Other,03/30/2020,10000,12000,11000
Andaman and Nicobar,South Andaman,Port Blair,Cluster beans,Cluster Beans,10/03/2012,8000,10000,9000
Andaman and Nicobar,South Andaman,Port Blair,Coconut,Big,03/04/2020,5400,6000,5600
Andaman and Nicobar,South Andaman,Port Blair,Colacasia,Other,01/14/2012,5000,7000,6000
Andaman and Nicobar,South Andaman,Port Blair,Onion,Other,12/02/2019,2000,3500,3000
Andaman and Nicobar,South Andaman,Port Blair,Potato,Other,02/13/2014,2000,3500,3000
Andhra Pradesh,Chittor,Kalikiri,Tomato,Local,09/30/2022,400,960,620
Andhra Pradesh,Chittor,Mulakalacheruvu,Tomato,Local,01/25/2020,200,500,300
Andhra Pradesh,Chittor,Vayalapadu,Tomato,Local,01/16/2013,400,1120,760
Andhra Pradesh,Kurnool,Banaganapalli,Bengal Gram(Gram)(Whole),Desi (Whole),01/23/2009,4500,4700,4600
Andhra Pradesh,Kurnool,Banaganapalli,Jowar(Sorghum),Jowar ( White),05/11/2009,1800,1950,1900
Andhra Pradesh,Kurnool,Banaganapalli,Paddy(Dhan)(Common),Sona Mahsuri,06/18/2015,1900,2000,1950
Andhra Pradesh,West Godavari,Attili,Paddy(Dhan)(Common),Paddy,08/25/2006,1750,1770,1760
Assam,Cachar,Cachar,Lentil (Masur)(Whole),Masur Dal,04/15/2004,5200,7200,7000
Assam,Cachar,Cachar,Rice,Common,12/01/2011,2200,2500,2400
Assam,Cachar,Cachar,Rice,Fine,03/14/2025,2500,3000,2800
Assam,Darrang,Kharupetia,Bitter gourd,Bitter Gourd,05/30/2022,6000,6500,6400
Assam,Darrang,Kharupetia,Bottle gourd,Bottle Gourd,12/12/2003,800,900,850
Assam,Darrang,Kharupetia,Brinjal,Round,10/07/2017,800,900,850
Assam,Darrang,Kharupetia,Cabbage,Cabbage,05/30/2021,300,400,350
Assam,Darrang,Kharupetia,Carrot,Carrot,04/02/2015,1000,1100,1050
Assam,Darrang,Kharupetia,Cauliflower,Local,12/12/2016,1400,1500,1450
Assam,Darrang,Kharupetia,Cluster beans,Cluster Beans,10/06/2000,4000,4200,4100
Assam,Darrang,Kharupetia,Cucumbar(Kheera),Cucumbar,03/14/2020,1500,1600,1550
Assam,Darrang,Kharupetia,Field Pea,Field Pea,03/03/2006,2800,3000,2900
Assam,Darrang,Kharupetia,French Beans (Frasbean),French Beans (Frasbean),09/02/2008,2200,2300,2250
Assam,Darrang,Kharupetia,Green Chilli,Green Chilly,08/13/2008,3500,3700,3600
Assam,Darrang,Kharupetia,Knool Khol,Knool Khol,09/08/2019,900,1000,950
Assam,Darrang,Kharupetia,Potato,Badshah,08/31/2018,600,700,650
Assam,Darrang,Kharupetia,Pumpkin,Pumpkin,03/14/2024,600,700,650
Assam,Darrang,Kharupetia,Raddish,Raddish,08/21/2005,800,900,850
Assam,Darrang,Kharupetia,Tomato,Hybrid,02/14/2014,1100,1200,1150
Assam,Dhubri,Gauripur,Black Gram (Urd Beans)(Whole),Black Gram (Whole),12/24/2005,4300,4425,4400
Assam,Dhubri,Gauripur,Green Gram (Moong)(Whole),Green (Whole),02/18/2007,6300,6640,6400
Assam,Dhubri,Gauripur,Jute,TD-5,09/25/2013,2700,3700,2800
Assam,Dhubri,Gauripur,Maida Atta,Maida Atta,04/12/2013,2260,2550,2370
Assam,Dhubri,Gauripur,Mustard,Mustard,09/11/2024,2300,2550,2400
Assam,Dhubri,Gauripur,Rice,Fine,03/20/2013,3500,5000,4500
Assam,Dhubri,Gauripur,Rice,Medium,08/08/2024,1800,3000,2500
Assam,Dhubri,Gauripur,Wheat Atta,Wheat Atta,09/27/2023,2200,2400,2300
Assam,Jorhat,Jorhat,Garlic,Garlic,06/24/2015,3500,6000,5000
Assam,Jorhat,Jorhat,Green Gram (Moong)(Whole),Green (Whole),06/30/2015,6200,6800,6600
Assam,Jorhat,Jorhat,Masur Dal,Masur Dal,12/10/2006,5200,6600,6200
Assam,Jorhat,Jorhat,Onion,Onion,07/23/2014,1150,1250,1200
Assam,Jorhat,Jorhat,Potato,Potato,10/27/2009,500,580,550
Assam,Jorhat,Jorhat,Rice,Common,04/24/2000,2500,7000,3200
Assam,Jorhat,Jorhat,Wheat Atta,Wheat Atta,07/24/2013,2600,3200,2800
Assam,Kamrup,Pamohi(Garchuk),Bitter gourd,Bitter Gourd,01/10/2025,5000,6000,5500
Assam,Kamrup,Pamohi(Garchuk),Brinjal,Brinjal,06/13/2002,1200,1400,1300
Assam,Kamrup,Pamohi(Garchuk),Cabbage,Cabbage,05/17/2018,300,600,500
Assam,Kamrup,Pamohi(Garchuk),Carrot,Carrot,02/10/2024,700,1200,1000
Assam,Kamrup,Pamohi(Garchuk),Cauliflower,Cauliflower,07/18/2012,1800,2000,1900
Assam,Kamrup,Pamohi(Garchuk),Cucumbar(Kheera),Cucumbar,09/30/2010,1600,2200,2000
Assam,Kamrup,Pamohi(Garchuk),Garlic,Garlic,08/13/2019,4000,5000,4500
Assam,Kamrup,Pamohi(Garchuk),Green Chilli,Green Chilly,11/05/2020,1500,3000,1600
Assam,Kamrup,Pamohi(Garchuk),Onion,Onion,07/17/2021,950,1150,1100
Assam,Kamrup,Pamohi(Garchuk),Potato,Potato,03/09/2014,600,750,700
Assam,Kamrup,Pamohi(Garchuk),Pumpkin,Pumpkin,12/15/2004,800,1000,900
Assam,Kamrup,Pamohi(Garchuk),Raddish,Raddish,08/09/2005,1000,1200,1100
Assam,Kamrup,Pamohi(Garchuk),Ridgeguard(Tori),Ridgeguard(Tori),12/24/2013,4000,4200,4100
Assam,Kamrup,Pamohi(Garchuk),Tomato,Tomato,02/16/2014,1400,1500,1450
Assam,Sonitpur,Dhekiajuli,Arecanut(Betelnut/Supari),Raw,10/07/2003,2000,2200,2200
Assam,Sonitpur,Dhekiajuli,Arhar (Tur/Red Gram)(Whole),Other,01/09/2010,5700,5850,5850
Assam,Sonitpur,Dhekiajuli,Brinjal,Other,09/21/2004,700,750,750
Assam,Sonitpur,Dhekiajuli,Cabbage,Other,09/16/2012,650,700,700
Assam,Sonitpur,Dhekiajuli,Green Chilli,Green Chilly,11/07/2001,1800,2000,2000
Assam,Sonitpur,Dhekiajuli,Jute,TD-5,10/22/2019,3600,3900,3900
Assam,Sonitpur,Dhekiajuli,Maize,Other,01/30/2001,1700,1800,1800
Assam,Sonitpur,Dhekiajuli,Mustard,Other,12/09/2009,4000,4100,4100
Assam,Sonitpur,Dhekiajuli,Rice,Common,07/05/2011,2200,2500,2400
Assam,Sonitpur,Dhekiajuli,Rice,Fine,04/26/2002,2700,2900,2800
Chattisgarh,Bastar,Jagdalpur,Dry Chillies,Dry,09/04/2024,4000,4410,4200
Chattisgarh,Kanker,Charama,Paddy(Dhan)(Common),Other,03/18/2005,1500,1500,1500
Chattisgarh,Kanker,Lakhanpuri,Paddy(Dhan)(Common),Other,05/09/2007,1500,1500,1500
Chattisgarh,Kanker,Narharpur,Paddy(Dhan)(Common),Other,06/07/2023,1500,1500,1500
Chattisgarh,Surajpur,Pratappur,Groundnut,Other,05/18/2011,4900,4900,4900
Goa,North Goa,Sanquelim,Arecanut(Betelnut/Supari),Red,09/01/2021,19000,20000,19500
Goa,North Goa,Sanquelim,Arecanut(Betelnut/Supari),Supari,01/10/2019,21500,23000,22250
Goa,North Goa,Sanquelim,Arecanut(Betelnut/Supari),White,03/02/2012,20000,21000,20500
Gujarat,Amreli,Damnagar,Bhindi(Ladies Finger),Bhindi,06/03/2005,1450,1650,1550
Gujarat,Amreli,Damnagar,Brinjal,Other,09/25/2016,1000,1200,1100
Gujarat,Amreli,Damnagar,Capsicum,Capsicum,05/14/2000,1200,1400,1300
Gujarat,Amreli,Damnagar,Guar,Gwar,12/28/2020,1500,1700,1600
Gujarat,Amreli,Damnagar,Lemon,Lemon,10/21/2010,1200,1400,1300
Gujarat,Anand,Khambhat(Grain Market),Bajra(Pearl Millet/Cumbu),Other,08/28/2015,2040,2120,2080
Gujarat,Anand,Umreth,Bajra(Pearl Millet/Cumbu),Deshi,11/15/2021,1950,2025,2015
Gujarat,Anand,Umreth,Castor Seed,Castor seed,05/30/2008,4800,4950,4870
Gujarat,Bharuch,Ankleshwar,Bhindi(Ladies Finger),Bhindi,09/24/2002,2750,3650,3425
Gujarat,Bharuch,Ankleshwar,Bottle gourd,Bottle Gourd,05/12/2018,1400,2100,1850
Gujarat,Bharuch,Ankleshwar,Brinjal,Round,10/20/2013,425,875,650
Gujarat,Bharuch,Ankleshwar,Cabbage,Cabbage,09/15/2021,750,1000,925
Gujarat,Bharuch,Ankleshwar,Capsicum,Capsicum,02/16/2016,2150,3000,2600
Gujarat,Bharuch,Ankleshwar,Carrot,Carrot,12/27/2008,650,875,825
Gujarat,Bharuch,Ankleshwar,Cauliflower,Local,04/10/2014,650,1500,1100
Gujarat,Bharuch,Ankleshwar,Coriander(Leaves),Coriander,05/13/2025,550,1000,825
Gujarat,Bharuch,Ankleshwar,Cowpea(Veg),Cowpea (Veg),07/12/2024,2750,3650,3425
Gujarat,Bharuch,Ankleshwar,Cucumbar(Kheera),Cucumbar,10/27/2018,1500,2400,2175
Gujarat,Bharuch,Ankleshwar,Drumstick,Drumstick,05/14/2001,2800,3700,3475
Gujarat,Bharuch,Ankleshwar,Elephant Yam (Suran),Elephant Yam (Suran),09/12/2001,2150,3000,2825
Gujarat,Bharuch,Ankleshwar,Ginger(Green),Green Ginger,01/29/2000,5450,6350,6100
Gujarat,Bharuch,Ankleshwar,Green Chilli,Green Chilly,03/21/2024,2600,3300,3000
Gujarat,Bharuch,Ankleshwar,Indian Beans (Seam),Indian Beans (Seam),03/08/2002,1000,1700,1450
Gujarat,Bharuch,Ankleshwar,Lemon,Lemon,12/08/2012,3250,3950,3700
Gujarat,Bharuch,Ankleshwar,Methi(Leaves),Methi,08/23/2016,600,1000,825
